Date,Price,Open,High,Low,Volume,Chg%
2024-06-19,232.20,231.70,234.00,230.40,1.74K,0.22%
2024-06-18,231.70,233.20,233.50,229.90,1.83K,-0.56%
2024-06-17,233.00,232.20,233.60,231.75,1.11K,-0.26%
2024-06-14,233.60,234.80,235.10,233.25,1.86K,-0.57%
2024-06-13,234.95,233.60,237.60,233.60,2.83K,-0.42%
2024-06-12,235.95,235.35,237.10,232.65,3.12K,0.83%
2024-06-11,234.00,235.95,236.20,232.15,2.86K,-1.14%
2024-06-10,236.70,234.40,237.25,234.00,2.43K,0.21%
2024-06-07,236.20,242.60,243.45,235.70,3.26K,-2.58%
2024-06-06,242.45,240.85,243.60,240.45,2.72K,1.11%
2024-06-05,239.80,241.15,241.15,238.45,2.61K,-0.85%
2024-06-04,241.85,242.75,243.65,239.70,2.68K,0.00%
2024-06-03,241.85,239.60,243.25,238.90,2.75K,-0.14%
2024-05-31,242.20,245.30,245.30,242.20,0.01K,-1.16%
2024-05-30,245.05,249.00,249.00,243.00,0.01K,-1.78%
2024-05-29,249.50,250.00,250.00,247.60,0.01K,1.09%
2024-05-28,246.80,244.65,246.80,244.65,0.01K,1.11%
2024-05-27,244.10,243.00,244.35,240.60,0.25K,0.74%
2024-05-24,242.30,239.70,243.40,239.25,2.07K,0.90%
2024-05-23,240.15,241.00,241.60,237.30,2.26K,-0.74%
2024-05-22,241.95,247.70,250.60,240.90,3.95K,-2.48%
2024-05-21,248.10,243.20,252.30,241.35,4.75K,1.99%
2024-05-20,243.25,240.65,243.65,239.15,1.51K,1.08%
2024-05-17,240.65,239.25,240.80,238.45,2.00K,0.73%
2024-05-16,238.90,239.80,241.25,237.20,2.96K,0.23%
2024-05-15,238.35,235.20,240.25,235.05,4.32K,1.58%
2024-05-14,234.65,233.05,235.00,232.55,2.13K,0.45%
2024-05-13,233.60,231.95,234.15,231.60,1.96K,0.71%
2024-05-10,231.95,235.40,236.70,231.50,3.22K,-1.30%
2024-05-09,235.00,232.80,235.00,232.20,1.84K,0.82%
2024-05-08,233.10,233.75,234.95,231.55,2.14K,-0.85%
2024-05-07,235.10,236.70,236.30,233.90,1.49K,-0.02%
2024-05-06,235.15,236.95,235.45,230.00,1.10K,0.49%
2024-05-03,234.00,232.80,235.25,231.55,2.63K,0.49%
2024-05-02,232.85,237.95,238.10,231.70,3.93K,-1.63%
2024-05-01,236.70,235.60,237.20,235.15,1.23K,-3.96%
2024-04-30,246.45,246.00,246.50,246.00,0.02K,0.67%
2024-04-29,244.80,246.50,248.10,244.00,0.02K,0.18%
2024-04-26,244.35,248.60,251.80,243.95,0.08K,-1.31%
2024-04-25,247.60,244.95,248.60,242.50,0.05K,2.21%
2024-04-24,242.25,241.05,248.80,240.10,0.40K,0.73%
2024-04-23,240.50,241.60,243.40,237.50,2.75K,-1.17%
2024-04-22,243.35,243.35,243.90,241.25,2.07K,0.29%
2024-04-19,242.65,239.20,243.10,238.40,2.31K,2.19%
2024-04-18,237.45,235.30,237.95,235.25,2.46K,1.00%
2024-04-17,235.10,233.50,236.80,233.30,1.91K,1.16%
2024-04-16,232.40,233.00,234.90,229.65,3.06K,-0.24%
2024-04-15,232.95,235.50,238.10,230.60,5.53K,2.69%
2024-04-12,226.85,225.35,229.50,224.65,3.55K,1.18%
2024-04-11,224.20,224.35,225.10,223.35,0.89K,-0.18%
2024-04-10,224.60,223.95,226.35,222.40,2.29K,0.54%
2024-04-09,223.40,223.75,225.70,221.30,2.57K,-0.31%
2024-04-08,224.10,223.50,225.40,222.70,2.07K,0.02%
2024-04-05,224.05,221.95,224.90,221.05,1.76K,0.56%
2024-04-04,222.80,219.20,223.90,218.55,3.80K,1.83%
2024-04-03,218.80,213.10,219.15,212.55,2.26K,2.82%
2024-04-02,212.80,209.80,213.40,209.35,1.72K,1.45%
2024-04-01,209.75,209.00,209.95,208.85,0.55K,0.31%
2024-03-28,209.10,208.10,211.55,207.90,0.02K,0.31%
2024-03-27,208.45,208.10,208.75,208.10,0.00K,0.55%
2024-03-26,207.30,210.10,212.20,207.05,0.04K,-0.77%
2024-03-25,208.90,207.50,209.00,207.50,0.04K,1.28%
2024-03-22,206.25,204.05,207.30,203.90,0.61K,0.66%
2024-03-21,204.90,204.95,205.95,204.00,1.35K,0.44%
2024-03-20,204.00,204.30,204.55,203.60,0.57K,0.00%
2024-03-19,204.00,204.30,204.95,203.20,0.82K,-0.27%
2024-03-18,204.55,204.85,205.50,204.20,0.65K,-0.05%
2024-03-15,204.65,204.50,205.30,204.10,0.91K,0.32%
2024-03-14,204.00,204.85,204.95,203.50,0.73K,-0.20%
2024-03-13,204.40,204.25,205.00,204.00,0.83K,0.15%
2024-03-12,204.10,203.45,204.70,202.90,1.18K,0.44%
2024-03-11,203.20,203.00,203.70,202.25,0.70K,0.22%
2024-03-08,202.75,203.75,203.85,202.00,0.95K,-0.17%
2024-03-07,203.10,201.95,203.70,201.90,1.48K,0.67%
2024-03-06,201.75,201.50,202.40,201.50,0.77K,-0.05%
2024-03-05,201.85,202.50,202.50,201.40,0.80K,-0.12%
2024-03-04,202.10,201.05,202.20,201.05,1.13K,0.30%
2024-03-01,201.50,200.10,202.20,199.65,1.69K,1.51%
2024-02-29,198.50,200.40,200.40,200.40,0,0.00%
2024-02-28,198.50,198.50,198.50,198.50,0,0.00%
2024-02-27,198.50,198.00,199.00,198.00,0.00K,1.46%
2024-02-26,195.65,195.65,195.65,195.65,0,0.00%
2024-02-23,195.65,199.50,199.95,193.25,0.89K,-1.44%
2024-02-22,198.50,198.35,199.80,195.75,2.32K,-0.45%
2024-02-21,199.40,201.00,201.75,198.60,2.03K,0.13%
2024-02-20,199.15,197.10,200.15,196.10,1.34K,0.73%
2024-02-19,197.70,198.90,199.20,197.15,0.86K,-0.80%
2024-02-16,199.30,200.05,200.95,199.20,1.16K,-0.42%
2024-02-15,200.15,201.30,201.85,200.05,0.87K,-0.47%
2024-02-14,201.10,200.30,201.70,199.55,0.86K,0.50%
2024-02-13,200.10,201.75,202.25,200.00,0.78K,-0.62%
2024-02-12,201.35,200.65,201.50,199.20,0.85K,0.35%
