Date,Price,Volume,Open,High,Low
07/22/2024,78.40,325798,78.95,79.13,77.55
07/19/2024,80.13,48226,82.47,82.88,80.07
07/18/2024,82.82,73485,83.11,83.82,82.04
07/17/2024,82.85,214769,80.85,83.10,82.79
07/16/2024,80.76,265523,81.92,80.91,80.60
07/15/2024,81.91,265923,82.16,82.06,81.85
07/12/2024,82.21,344011,82.86,82.32,82.10
07/11/2024,82.62,301232,82.40,83.13,81.63
07/10/2024,82.10,307301,81.81,82.66,80.81
07/09/2024,81.41,276496,82.22,81.85,81.41
07/08/2024,82.33,233093,83.15,82.35,82.08
07/05/2024,83.16,331495,83.60,84.52,83.07
07/03/2024,83.88,270701,83.20,83.93,82.46
07/02/2024,82.81,344744,83.43,84.38,82.72
07/01/2024,83.38,326810,81.45,83.64,81.38
06/28/2024,81.54,235963,81.86,82.72,80.97
06/27/2024,81.74,284193,80.86,82.04,80.51
06/26/2024,80.90,285621,80.72,81.63,80.18
06/25/2024,80.83,269912,81.70,81.90,80.55
06/24/2024,81.63,253733,80.45,81.78,80.23
06/21/2024,80.73,271228,81.27,81.79,80.35
06/20/2024,82.17,17741,81.52,82.41,81.13
06/18/2024,81.57,93149,80.43,81.67,79.77
06/17/2024,80.33,100361,78.48,80.66,77.98
06/14/2024,78.45,217304,77.96,79.15,77.73
06/13/2024,78.62,274978,78.37,78.89,77.67
06/12/2024,78.50,285282,78.22,79.32,77.88
06/11/2024,77.90,283496,78.12,78.36,77.22
06/10/2024,77.74,280852,75.35,78.29,75.23
06/07/2024,75.53,251891,75.67,76.25,75.21
06/06/2024,75.55,267683,74.30,75.79,74.06
06/05/2024,74.07,281748,72.90,74.33,72.82
06/04/2024,73.25,383010,74.02,74.13,72.48
06/03/2024,74.22,416773,76.97,77.52,73.98
05/31/2024,76.99,317333,77.91,78.62,76.67
05/30/2024,77.91,343651,79.28,78.06,77.84
05/29/2024,79.23,238646,80.26,80.62,78.99
05/28/2024,79.83,308750,77.81,80.29,78.50
05/24/2024,77.72,275483,77.04,78.05,76.15
05/23/2024,76.87,311050,77.29,78.66,76.43
05/22/2024,77.57,296884,78.21,78.41,77.25
05/21/2024,79.12,19207,79.70,79.72,78.08
05/20/2024,79.80,42275,80.01,80.60,79.17
05/17/2024,80.06,76277,79.38,80.14,79.00
05/16/2024,79.23,196971,78.84,79.85,78.20
05/15/2024,78.63,291149,78.44,78.92,76.70
05/14/2024,78.02,277638,79.23,78.90,77.74
05/13/2024,79.12,241343,78.18,79.49,77.78
05/10/2024,78.26,247974,79.59,79.96,78.14
05/09/2024,79.26,246977,79.23,79.80,78.91
05/08/2024,78.99,329918,78.34,79.27,76.89
05/07/2024,78.38,298405,78.72,79.17,77.55
05/06/2024,78.48,275878,78.16,78.79,78.10
05/03/2024,78.11,298285,79.07,79.63,77.96
05/02/2024,78.95,329680,79.15,79.41,78.75
05/01/2024,79.00,408293,81.48,81.57,78.83
04/30/2024,81.93,380422,82.76,83.30,80.95
04/29/2024,82.63,311744,83.69,83.91,82.40
04/26/2024,83.85,222797,83.81,84.46,83.35
04/25/2024,83.57,295405,82.83,83.83,81.99
04/24/2024,82.81,304268,83.40,83.71,82.44
04/23/2024,83.36,334305,82.13,83.43,80.88
04/22/2024,82.85,14384,83.05,83.35,81.85
04/19/2024,83.14,43522,82.62,86.28,81.80
04/18/2024,82.73,66642,82.79,83.47,81.56
04/17/2024,82.69,235717,85.36,85.51,82.55
04/16/2024,85.36,209726,85.70,86.18,84.75
04/15/2024,85.41,320452,85.93,85.72,84.24
04/12/2024,85.66,345929,85.60,87.67,85.24
04/11/2024,85.59,343313,86.32,86.63,84.84
04/10/2024,86.21,345415,85.34,86.38,85.52
04/09/2024,85.23,289672,86.59,86.98,85.09
04/08/2024,86.43,364333,86.10,87.10,84.69
04/05/2024,86.91,316621,86.86,87.63,86.32
04/04/2024,86.59,333762,85.66,87.22,84.64
04/03/2024,85.43,300770,85.46,86.20,84.85
04/02/2024,85.15,317394,84.04,85.50,83.85
04/01/2024,83.71,300348,83.14,84.49,82.60
03/28/2024,83.17,265778,81.71,83.21,81.52
03/27/2024,81.35,230392,81.29,81.74,80.55
03/26/2024,81.62,215540,81.94,82.36,81.22
03/25/2024,81.95,282853,80.85,82.48,80.59
03/22/2024,80.63,209605,80.84,81.45,80.42
03/21/2024,81.07,244230,81.49,81.92,80.30
03/20/2024,81.68,16350,83.20,83.21,81.44
03/19/2024,83.47,43027,82.85,83.85,82.39
03/18/2024,82.72,62680,81.03,83.09,81.01
03/15/2024,81.04,165566,81.14,81.45,80.49
03/14/2024,81.26,266350,79.63,81.62,79.57
03/13/2024,79.72,278332,78.06,79.90,77.57
03/12/2024,77.56,276309,78.09,78.73,77.34
03/11/2024,77.93,299473,77.80,78.47,76.79
03/08/2024,78.01,315177,79.51,79.99,77.56
03/07/2024,78.93,394086,79.13,79.53,78.02
03/06/2024,79.13,341329,78.15,80.67,77.99
03/05/2024,78.15,416811,78.74,79.49,77.52
03/04/2024,78.74,320571,80.14,80.41,78.56
03/01/2024,79.97,334555,78.28,80.85,78.05
02/29/2024,78.26,299218,78.20,79.28,77.94
02/28/2024,78.54,310877,78.48,79.62,77.78
02/27/2024,78.87,250871,77.62,79.00,77.17
02/26/2024,77.58,252896,76.40,78.03,75.84
02/23/2024,76.49,328616,78.37,78.39,76.35
02/22/2024,78.61,307118,78.09,78.92,77.23
02/21/2024,77.91,308019,77.15,78.08,76.32
02/20/2024,78.18,20515,79.13,79.80,77.67
02/16/2024,79.19,69547,78.11,79.35,77.22
02/15/2024,78.03,101796,76.60,78.44,75.78
